Skad pochodzi Conan Barbarzynca?;z Oz;z Mordoru;z Cimmerii;z Rivii;3
Odrazajacy drab z Kabaretu Starszych Panow dubeltowke wezmie, wyjdzie i...;z rur dwoch;rach-ciach!;bum w brzuch;buch, buch!;4
"Komiksowym ""dzieckiem"" rysownika Boba Kane'a jest:";Superman;Spider-Man;Batman;Capitan America;3
Ryba nie jest:;krasnopiorka;rozpior;swinka;kraska;4
Ktora nazwa jest poprawna?;Ans Tarnow;PWSZ Tarnow;AGH Tarnow;UJ Tarnow;2
Ktory aktor urodzil sie w roku opatentowania kinematografu braci Lumiere?;Charlie Chaplin;Fred Astaire;Rudolph Valentino;Humphrey Bogart;3
Mowa w obronie poety Archiasza przeszla do historii jako jeden z najlepszych popisow retorycznych:;Izokratesa;Kwintyliana;Cycerona;Demostenesa;3
Kto byl nadwornym malarzem krola Filipa IV Habsburga?;Marcello Bacciarelli;Jan van Eyck;Diego Velazquez;Jacques-Louis David;3
Likier maraskino produkuje sie z maraski, czyli odmiany:;wisni;figi;gruszy;jabloni;1
Z gry na jakim instrumencie slynie Czeslaw Mozil?;na akordeonie;na kornecie;na ksylofonie;na djembe;1
