W ktorym roku mial miejsce chrzest Polski?;W 1000;W 996;W 966;W 669;3
Ktory dzwiek nie zalicza sie do gamy?;cis;sol;fa;do;1
Po zmieszaniu jakich farm otrzymamy kolor pomaranczowy?;zoltej i zielonej;czerwonej i zoltej;czerwonej i zielonej;bialej i zoltej;2
Z jakim krajem Polska nie graniczy od wschodu?;Z Ukraina;Z Bialorusia;Z Rosja;Z Litwa;3
Turkot:;mawiamy o zwinnym silaczu;to odglos jadacego pociagu;to element fali w wojsku;to wymarly ssak;2
To efekt galwanizacji.;Zalakowany zab;Zabejcowany stol;Kredowany papier;Posrebrzany widelec;4
Jerycho, Betlejem, Nablus leza na obszarze zwanym Zachodnim Brzegiem:;Morza Czerwonego;Morza czarnego;Morza Martwego;Jordanu;4
Sfatygowany Przekliniak rzuca miesem w serialu:;Miasteczko South Park;Blok Ekipa;Family Guy;Wladcy moch;4
Ile razy na minute mrugamy;Mniej niz 5;Okolo 20;Zawsze 40;Ponad 50;2
Piotr Wielki nakazl bojarom noszenie krotkich szat zamiast dlugich kaftanow, a takze:;zgolenie brod;palenie cygar;nauke gry na lutni;jadanie na srebrze;1

