Ktorym z kolei prezydentem Stanow Zjednoczonych byl John F. Kennedy?;15;25;35;45;3
Ktorego dnia obchodzimy narodowy dzien pamieci zolnierzy wykletych?;11 listopada;15 sierpnia;1 sierpnia;1 marca;4
W ktorym roku zostal zalozony serwis internetowy YouTube?;w 2000;w 2003;w 2005;w 2007;3
Diastema to:;pusta przestrzen pomiedzy grupami zebow;choroba ukladu zebowego;zapalenie dziasel;zabieg wyrownujacy zeby;1
Stolica ktorego panstwa jest Freetown?;Liberii;Sierra Leone;Angoli;Somalii;2
Jak nazywala sie niemiecka operacja ataku na Polske?;Barbarossa;Fall Gelb;Fall Weiss;Mickey Mouse;3
Jakiego koloru nie ma w podstawowym zestawie kolorow farb CMYK?;czarnego;cyjanowego;magenty;bialego;4
Kiedy zostala zalozona Organizacja Bezpieczenstwa i Wspolpracy w Europie?;1 maja 2004;1 sierpnia 1975;4 kwietnia 1949;1 wrzesnia 1939;2
W ktorym z filmow Stevena Spielberga zagrala Anna Mucha?;"Poszukiwacze zaginionej arki";"Lista Schindlera";"E.T";"Szeregowiec Ryan";2
Najwiecej razy w historii Lige Mistrzow wygrala druzyna:;Manchester United;FC Barcelona;Bayern Monachium;Real Madryt;4
x
