Kto jest autorem utworu "Ferdydurke"?;Witold Gombrowicz;Zofia Nalkowska;Tadeusz Konwicki;Wladyslaw Reymont;1
Co oznacza okreslenie niedzwiedzia przysluga?;przysluga przynoszaca szkody;przysluga przynoszaca korzysci;przysluga trudna do wyswiadczenia;przysluga latwa do wyswiadczenia;1
Po jakiej rzece plynal Kapitan Marlow w ksiazce Josepha Conrada "Jadro ciemnosci"?;Jenisej;Orinoko;Kongo;Nil;3
Z jakiego kraju pochodzi potrawa paella?;z Portugalii;z Hiszpanii;z Grecji;z Wloch;2
Na jakiej wysokosci zawieszona jest obrecz kosza w koszykowce (standard NBA)?;2,45m;3,00m;2,80m;3,05m;4
"Hymn o milosci" Pawel Apostol napisal do:;Filipian;Rzymian;Koryntian;Efezjan;2
Zakazane miasto znajduje sie w:;Chinach;Indiach;Japonii;Tajlandii;1
Kto zagral glowna role w filmie Stanleya Kubricka "Sciezki chwaly"?;Michael Douglas;Kirk Douglas;Roger Moore;Jack Nicolson;2
Jaka dyscypline sportowa uprawial, zanim trafil do NBA, Marcin Gortat?;plywanie i bieganie;kolarstwo;pilke nozna i lekkoatletyke;koszykowke;3
Parsek to:;jednostka czasu;jednostka odleglosci;inaczej pasek;pasozyt;2
x
