Ktora z wymienionych rzeczy produkuje firma HP?;korpusy do czolgow podwodnych;komputery;automatyczne przerzucarki do slomy;testy ciazowe dla hipopotamow;2
Ile miesiecy ma rok?;12;47;4;11;1
Wokalista zespolu The Doors byl?;Jim Morrison;Micheal Jackson;Kurt Cobain;Jerzy Polomski;1
Pociag elektryczny pedzil ze wschodu na zachod z predkosca 150 km/h. W ktora strone leci dym z pociagu?;pociag elektryczny nie dymi;na wschod;na zachod;w lewo;1
Jaka nazwe nadaje sie w Polsce uczelniom o profilu technicznym?;poliklinika;politechnika;wysza szkola lansu i halasu;polibuda;2
Jaki jest najlepszy jezyk programowania?;Java;HTML;C;Pajton;3
Po co chodzi sie do solarium?;Zeby zjesc slona rybe;Zeby wyhodowac raka skory;zeby kupic sole trzezwiace;zeby zrobic sobie sztuczna opalenizne;4
Jak nazywala sie matka Haliny a tesciowa Ferdynanda Kiepskiego?;babka Rozalia;babka Rozalina;babka Marianna;babka Halina;1
Stolica Brazylii to?;Rio de Janeiro;Miami;Brasilia;Pekin;3
Jak nazywa sie pies z popularnego serialu "Komisarz Alex"?;Piesek Leszek;Alex;Komisarz;Reksio;2
