Potocznie nazywamy go "spadajaca gwiazda". Mowa o:;Meteorycie;Asteroidzcie;Meteorze;Kosmosie;3
Czescia ktorego gwiazdozbioru jest Gwiazda Polarna?;Cefeusza;Centaura;Andromedy;Malej Niedzwiedzicy;4
Horyzont zdarzen otacza;Czarna Dziure;Galaktyke;Slonce;Uklad sloneczny;1
Kiedy rozpoczelo sie drugie tysiaclecie?;1 stycznia 1000r.;1 stycznia 1001r.;1 stycznia 2000r.;1 stycznia 2001r.;2
Ktory instrument stroi muzyk?;tamburyn;kociol;okaryne;czynele;2
Ile to jest 1111 razy 1111, jeśli 1 razy 1 to 1, a 11 razy 11 to 121?;12321;1 234 321;111 111 111;123 434 321;2
Kto jest mistrzem tego samego oreza, w jakim specjalizowala sie mitologiczna Artemida?;Zorro;Legolas;Don Kichot;Longinus Podbipieta;2
Komiksowym "dzieckiem" rysownika Boba Kane'a jest:;Superman;Batman;Spider-Man;Kapitan Ameryka;2
Co wedlug Leszka Kolakowskiego jest sklepieniem domu, w ktorym duch ludzki mieszka?;Rozum;Bog;Milosc;Czas;4
Likier maraskino produkuje sie z maraski, czyli odmiany:;wisni;jabloni;figi;gruszy;1
