Jak prawidlowo napiszemy nazwe tego ptaka?;grzegrzolka;grzegrzulka;gzegzolka;grzegzolka;3
Ile razy Roger Moore wcielil sie w postac Jamesa Bonda?;5 razy;7 razy;8 razy;10 razy;2
Czym jest aphelium?;punkt na orbicie znajdujacy sie najdalej od Slonca;najwieksza temperatura na Sloncu;moment, gdy Slonce jest zacmione przez Ksiezyc;moment, gdy slonce jest zacmione przez Ziemie;1
Pachycefalozaur byl:;miesozerca;roslinozerca;wszystkozerca;padlinozerca;2
Ilu graczy moze przebywac jednoczesnie na boisku w pilke reczna?;8;10;12;14;4
Ktora odlegosc jest dluzsza?;z Tarnowa do Krakowa;z Warszawy do Radomia;z Gdyni do Gdanska;z Lublina do Zamoscia;2
Gdy wylejemy na dlon monotlenek diwodoru to:;ja poparzymy;stopniowo bedzie wyzerana;bedzie pachnaca;bedzie mokra;4
Jaka dyscypline sportowa uprawial Usain Bolt?;bieg na 1000 metrow;sprint;skok w dal;skok o tyczce;2
Gdzie mozemy spotkac rosomaki?;w Ameryce Polnocnej i Azji;w Amerce Poludniowej i Afryce;w Europie;na Antarktydzie;1
Dacia to marka auta z:;Wloch;Niemiec;Armenii;Rumunii;4
x
