Gdy Neil Armstron stanal na Ksiezycu, wypowiedzial slynne zdanie. Co na Srebrnym Globie zrobił Alan Shepard?;Zagral w golfa;Biegal z siatka na motyle;Zatanczyl rock and rolla;Godzine lezal krzyzem;1
Co miesci Wielki luk Braterstwa w paryskiej dzielnicy La Defense, zwany dwudziestowieczna wersja Luku Triumfalnego?;Szczatki Napoleona I;Nic;Ziemie z pol bitewnych;Biura ministerstwa ekologii;4
Kto jest tworca logo zespolu Perfect;Andrzej Mleczko;Henryk Sawka;Marek Raczkowski;Edward Lutczyn;4
Na co reaguje nocyceptor?;Na mroki nocy;Na slodki smak;Na podczerwien malej mocy;Na bodzce uszkadzajace tkanki;4
Z czego odlane sa zlote medale olimpijskie?;Ze zlota;Z brazu;Z zeliwa;Ze srebra;4;
W 1971 r. psycholog Philip Zimbardo przeprowadzil eksperyment symulujacy;zycie rozbitkow na wyspie;przebywanie w kosmosie;zycie w wiezieniu;odbijanie zakladnikow;3
Starte ziemniaki i maka to w zasadzie wszystko, czego potrzebujemy na tak zwane kluski;plastikowe;szklane;papierowe;zelazne;4
Z czego w głownej mierze zrobione sa tak zwane monety bulionowe?;z pasty rosolowej;ze zrolowanego miesa;ze zlota;z miedzi;3
Pod jaki zabor trafil Bialystok w 1795 r., jesli trafil?;pod pruski;pod rosyjski;pod austriacki;nie trafil pod zaden;1
Co mial wspolnego Jan Marcin Szancer z Krasickim, Mickiewiczem i Sienkiewiczem?;byl ich ulubiencem;to ilustrator ich dziel;to ich wydawca;nic;2


