Krzysztof Komeda skomponowal muzyke do wszystkich tych filmow, ale jeden z nich wyrezyserowal kto inny niz pozostale. Ktory?;"Matnia";"Dziecko Rosemary";"Noz w wodzie";"Niewinni czarodzieje";4
Manat karaibski, tak jak afrykanski, z konczyn ma tylko przednie. A manat azerbejdzanski, tak jak turkmenski:;ma i przednie i tylne;zastapil rubla;zakrywa cale cialo;jest samotnikiem;2
Galinstan, stop galu, indu i cyny, zastapil:;zloto w obraczkach;rtec w termometrach;miedzinikiel w zlotowkach;amalgamat w plombach;2
"Mona Lisa" z Luwru to obraz namalowany:;na tkaninie;na metalu;na drewnie;na murze;3
U Mieckiewicza: "Obszar gnusnosci zalany odmetem"...;to Polska!;to Rosja!;to Austro-Wegry!;to Ziemia!;4
Niektore z owocow dojrzewaja jeszcze po zbiorach. Ktory zerwany niedojrzaly taki pozostanie?;wisnia;banan;gruszka;awokado;1
W ktorym roku Konrad Mazowiecki sprowadzil krzyzakow do Polski?;1313;1220;1226;1311;3
Jak ma na imie najstarszy dab w Polsce?;Wojtek;Kazimierz;Boleslaw;Bartek;3
Miesien krawiecki znajduje sie:;w dloni;w nodze;na plecach;w stopie;2
Ktory film zdobyl ponad 2,8 mld dolarow z box office?;Park Jurajski;Avatar;Avengers: Koniec gry;Titanic;2
x
