Jednostka miary reaktywnosci reaktora jadrowego to;euro;zloty;rubel;dolar;4
Kto sklada zeznanie podatkowe na druku PIT-19A?;nauczyciele;duchowni;rolnicy;wiezniowie;2
W mozgu istota szara, tworzac kore mozgu, otacza istote biala. W rdzeniu kregowym jest;tak samo;odwrotnie;tylko istota szara;tylko istota biala;2
Najwyzszy budynek swiata Burdz Chalifa zwienczony jest tym samym elementem architektonicznym, co...;Krzywa Wieza w Pizie;PKiN;Opera w Sydney;Statua Wolnosci;2
Za 30 Judaszowych srebrnikow arcykaplani kupili kawalek ziemi nazywany Polem Garncarza, ktory przeznaczyli na:;plantacje oliwek;wybieg dla lwow;cmentarz dla cudzoziemcow;targowisko;3
W oryginalnej trylogii "Gwiezdne wojny" 3-CPO ma srebrna:;szczeke;klatke piersiowa;lewa dlon;prawa noge;4
Synonimem slowa "dyrektywa" jest:;Prosba;Nakaz;Zyczenie;Petycja;2
Ktory aktor podbija muzyczna… scene rock and rollem bez przebaczenia?;Marian Dzieziel;Arkadiusz Jakubik;Bartlomiej Topa;Robert Wieckiewicz;2
Ile zlotych Solejukowie przeznaczyli na WOSP po wygranej w LOTTO;10 000;350 000;nic;1000;2
Bohaterami jakiej ksiazki s¹ Lasse, Bosse i Lisa?;Sachem;Akademia Pana Kleksa;Anaruk, chlopiec z Grenlandii;Dzieci z Bullerbyn;4
