Kwiaty karczocha najbardziej przypominaja kwiaty:;rumianku;konwalii;nasturcji;ostu;4
Zydwestka to kapelusz, ktory jest doskonalym uzupelnieniem;sztormiaka;kamizelki garniturowej;sukni balowej;bikini;1
Czelnosc i bezczelnosc to:;antonimy;synonimy;homonimy;maja tyle samo wspolglosek;2
Dwutlenek ceru:;zaradzi dziurze w rajstopach;posluzy do polerowania szkla;to srodek przeciwwymiotny;nie istnieje;2
Ile jest planet w Ukladzie Slonecznym?;7;8;9;10;2
Ktora planeta jest najwieksza w Ukladzie Slonecznym;Jowisz;Neptun;Saturn;Uran;1
Nasza galaktyka to:;Uklad Sloneczny;Kasjopea;Droga Mlecza;Andromeda;3
Co ile lat(okolo) mozna zobaczyc z Ziemi komete Halleya?;ok. 40;ok. 75;ok. 90;ok. 150;2
Najjasniejsza gwiazda na niebie jest:;Syriusz;Kanopus;Slonce;Alfa Centauri;3
Odleglosc pomiedzy Ziemia a Ksiezycem to okolo:;129 000 km;384 000 km; 500 000 km; 1 369 000 km;2
