Okolicznosciowa piosenka najczesciej spiewana po polskich meczach pilki noznej to;widzialem belta cien;nic sie nie stalo...;jeszcze jeden, jeszcze jeden;do przodu Polsko;2
Co oznacza skrot PKP?;Pozniej Koleja Pojedziesz;Polskie Koleje Panstwowe;Polskie Koleje Powolne;Poczekaj Kiedys Pojedziemy;2
Jak ma na imie komiksowy i filmowy rudy kot czesto wylegujacy sie przed TV i marzacy o lasagnii?;Garfield;Pikachu;Kon Rafal;Rexio;1
Dokoncz przyslowie: Nie wywoluj wilka z...;nory;libacji;szafy;lasu;4
Jak nazywa sie grzyb z czerwona glowka w biale kropki?;analophilus ogasmus;maslak;muchomor;piwowajka;3
Do czego sLuzy deska do prasowania?;prasowania;odkurzania;modlitwy;gotowania;1
Kiedy obchodzimy Swieto Niepodleglosci?;kiedy ludzie bija sie na ulicach;11 listopada;w osma niedziele po bozonarodzeniowym Wielkim Wtorku;10 kwietnia;2
Co ma na glowie orzel z godla Polski?;korone;irokeza;dziob;jest lysy;1
Co to jest portfel?;cos, na co patrzy kazda kobieta umawiajaca sie z facetem;slowo, ktorego nie ma w zadnym z afrykanskich jezykow;przeciwienstwo fortelu;taka rzecz, w ktorej trzyma sie pieniadze;4
Co kupuje sie w lodziarni?;Lody;Pociski balistyczne;Laski;Papierosy;1
