Ktory ssak sie nie poci?;Owca;Kon;Czlowiek;Krolik;4
Rozancowa tajemnica chwalebna nie jest...;Wniebowziecie Matki Bozej;Zmartwychwstanie Jezusa;Smierc Jezusa na krzyzu;Zeslanie Ducha Swietego;3
Jak nazywa sie filmowy Agent 007?;Dzejmz Blant;JamesBond;Jasko Traktorzysta;James Blondyn;3
Firma produkujaca procesory graficzne?;ASCII;Walus i Wrona;NVIDIA Corporation;TVN;3
Jak ma na imie tytulowy bohater serialu "Dr House"?;Mark;Doctor;Gregory;Jessie;3
Nadluzsza  rzeka w Polsce to?;Wisla;Odra;Zadna;Warta;1
Ktora z wymienionych firm produkuje ketchup?;Pudliszki;Podliszki;Knorr;Psulizki;1
Dokoncz: Na tapczanie lezy len...;nic nie robi caly dzien;pije browca caly dzien;grzeje fotel caly dzien;gra na kompie caly dzien;1
Kto szuka...; ten ma zaniki pamieci;ten znajdzie;ten nie znajdzie;ten zgubil;2
Ktore kolo samochodu najmniej zuzywa sie na zakrecie?;tylne;lewe;zapasowe;srodkowe;3
