Ktory utwor Juliusza Slowackiego napisany jest proza?;"Arab";"Anhelli";"Godzina mysli";"W Szwajcarii";2
Pletwa grzebietowa nie pruje wody:;kosogon;wal grenlandzki;dlugoszpar;orka;2
Rodzinna wyspa Boba Marleya to:;Cejlon;Jamajka;Kuba;Sumatra;2
Ktore cialo stale ma najmniejsza gestosc?;szklo;beton;drewno;piasek;3
Vincent Vega z filmu "Pulp Fiction" wysmiewa Holendrow, ktorzy zamiast keczupu uzywaja do frytek:;sosu sojowego;musztardy;guacamole;majonezu;4
Czego nie ma tetraedr?;szesciu krawedzi;kwadratu w podstawie;trojkatnych scian;czterech wierzcholkow;2
Zadaniem Dana Browna, autora "Kodu Leonarda daVinci", Maria Magdalena byla zona;Jana Ewangelisty;Jezusa Chrystusa;Jana Chrzciciela;Pawla z Tarsu;2
Ekliptyka to droga pozornego rocznego ruchu:;Ziemi;Slonca;Ksiezyca;Marsa;2
W ktorym roku miala miejsce Unia w Krewie?;1390;1380;1385;1395;3
Na ile stacji dzieli sie droga krzyzowa?;12;13;14;15;3
x
